Competizione,Turno,Date,Time,Location,HomeTeam,AwayTeam,Tifoso,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
Coppa Italia,R32,16/08/2025,18:30,Giuseppe Sinigaglia,Como,Sudtirol,Guzzo,3,1,H,3,1,H,16,5,9,3,10,15,5,0,1,1,0,1
Serie A,1,24/08/2025,17:30,Giuseppe Sinigaglia,Como,Lazio,Steppo,2,0,H,0,0,D,19,5,6,1,15,12,6,0,2,3,0,0
Serie A,2,30/08/2025,17:30,Renato Dall'Ara,Bologna,Como,N,1,0,H,0,0,D,15,13,2,2,13,19,7,4,4,3,0,0
Serie A,3,15/09/2025,19:45,Giuseppe Sinigaglia,Como,Genoa,Guzzo,1,1,D,1,0,H,13,13,4,6,13,17,0,8,2,2,1,0
Serie A,4,21/09/2025,17:00,Artemio Franchi,Fiorentina,Como,N,1,2,A,1,0,H,8,19,1,7,16,19,2,6,4,3,0,0
Coppa Italia,R16,24/09/2025,21:00,Giuseppe Sinigaglia,Como,Sassuolo,N,3,0,H,3,0,H,6,5,2,3,2,6,3,4,0,0,0,0
Serie A,5,27/09/2025,14:00,Giuseppe Sinigaglia,Como,Cremonese,Guzzo,1,1,D,1,0,H,14,9,6,2,16,17,4,3,3,4,1,0
Serie A,6,04/10/2025,19:45,Atleti Azzurri d'Italia,Atalanta,Como,N,1,1,D,1,1,D,16,12,4,4,10,19,8,3,1,3,0,0
Serie A,7,19/10/2025,11:30,Giuseppe Sinigaglia,Como,Juventus,Steppo,2,0,H,1,0,H,12,15,6,3,17,15,4,1,3,1,0,0
Serie A,8,25/10/2025,14:00,Ennio Tardini,Parma,Como,N,0,0,D,0,0,D,10,6,3,2,7,14,3,3,0,1,0,0
Serie A,9,29/10/2025,17:30,Giuseppe Sinigaglia,Como,Verona,Steppo,3,1,H,1,1,D,15,13,5,9,11,21,1,3,1,4,0,0
Serie A,10,01/11/2025,17:00,Diego Armando Maradona,Napoli,Como,N,0,0,D,0,0,D,13,13,8,2,15,16,4,2,3,2,0,0
Serie A,11,08/11/2025,14:00,Giuseppe Sinigaglia,Como,Cagliari,Guzzo,0,0,D,0,0,D,10,4,6,2,21,15,10,0,3,1,0,0
Serie A,12,24/11/2025,17:30,Olimpico Grande Torino,Torino,Como,N,1,5,A,1,1,D,10,15,2,7,6,9,3,4,0,1,0,0
Serie A,13,28/11/2025,19:45,Giuseppe Sinigaglia,Como,Sassuolo,Steppo,2,0,H,1,0,H,18,12,13,5,11,7,4,4,2,1,0,0
Serie A,14,06/12/2025,17:00,San Siro,Inter,Como,N,4,0,H,1,0,H,11,15,7,3,16,13,7,4,1,2,0,0
Serie A,15,15/12/2025,19:45,Olimpico,Roma,Como,N,1,0,H,0,0,D,14,13,4,1,16,8,6,3,3,3,0,0
Serie A,17,27/12/2025,14:00,Ettore Giardiniero - Via del mare,Lecce,Como,N,0,3,A,0,1,A,11,12,5,6,10,23,4,6,2,4,0,0
Serie A,18,03/01/2026,11:30,Giuseppe Sinigaglia,Como,Udinese,Steppo,1,0,H,1,0,H,15,4,3,1,12,15,3,2,1,3,0,0
Serie A,19,06/01/2026,14:00,Garibaldi,Pisa,Como,N,0,3,A,0,0,D,10,15,4,7,9,13,1,5,2,2,0,0
Serie A,20,10/01/2026,14:00,Giuseppe Sinigaglia,Como,Bologna,Guzzo,1,1,D,0,0,D,12,7,3,2,14,3,4,2,3,3,0,1
Serie A,16,15/01/2026,19:45,Giuseppe Sinigaglia,Como,Milan,Guzzo,1,3,A,1,1,D,18,7,8,4,7,5,8,4,1,0,0,0
Serie A,21,19/01/2026,19:45,Olimpico,Lazio,Como,N,0,3,A,0,2,A,8,11,4,6,14,9,3,2,4,3,0,0
Serie A,22,24/01/2026,14:00,Giuseppe Sinigaglia,Como,Torino,Steppo,6,0,H,2,0,H,17,7,7,1,9,15,2,1,0,1,0,0
Coppa Italia,R8,27/01/2026,21:00,Artemio Franchi,Fiorentina,Como,N,1,3,A,1,1,D,5,15,4,9,11,19,1,6,2,5,0,0
Serie A,23,01/02/2026,14:00,Giuseppe Sinigaglia,Como,Atalanta,Guzzo,0,0,D,0,0,D,28,6,9,2,9,11,7,1,4,3,0,1
